FabGuard-V19.02.00
EXPORTED BIN DATA
Run Path and Name: c:\Inficon\data\009-13-2026\scaleupCCU2026, Position 1, RGA MPH 100 70252106, 009-13-2026 20'23'55.isi
SensorID:  RGA MPH 100 70252106
7 Bins 
50694 TimePoints

Time Relative (sec)	Time Absolute (UTC)	Time Absolute (Date_Time)	Step	Ionizer_State	Pressure	28_amu_(Nitrogen)	44_amu_(CO2)	Periph:_Digital_In_0	Periph:_Digital_In_1	Periph:_Relay_1_(DO_0)
4.965	1789302240.497	09/13/2026_20:24:00.497	1	2	4.711287329e-05	6.605939795e-09	2.235798872e-11	1	1	0
5.045	1789302240.577	09/13/2026_20:24:00.577	1	2	4.698190605e-05	6.62504096e-09	2.236728511e-11	1	1	0
5.125	1789302240.657	09/13/2026_20:24:00.657	1	2	4.687577893e-05	6.573094513e-09	2.245020315e-11	1	1	0
5.205	1789302240.737	09/13/2026_20:24:00.737	1	2	4.681057908e-05	6.597612234e-09	2.236972413e-11	1	1	0
5.284	1789302240.816	09/13/2026_20:24:00.816	1	2	4.684548185e-05	6.599885971e-09	2.239518813e-11	1	1	0
5.364	1789302240.896	09/13/2026_20:24:00.896	1	2	4.682054714e-05	6.589513379e-09	2.246699528e-11	1	1	0
5.444	1789302240.976	09/13/2026_20:24:00.976	1	2	4.680087295e-05	6.597129953e-09	2.245546284e-11	1	1	0
5.524	1789302241.056	09/13/2026_20:24:01.056	1	2	4.676981189e-05	6.592964397e-09	2.225349419e-11	1	1	0
5.604	1789302241.136	09/13/2026_20:24:01.136	1	2	4.67307691e-05	6.607135727e-09	2.236279391e-11	1	1	0
5.683	1789302241.215	09/13/2026_20:24:01.215	1	2	4.666282985e-05	6.550283427e-09	2.237786172e-11	1	1	0
5.763	1789302241.295	09/13/2026_20:24:01.295	1	2	4.664683365e-05	6.553903198e-09	2.231645944e-11	1	1	0
5.843	1789302241.375	09/13/2026_20:24:01.375	1	2	4.66593483e-05	6.621490467e-09	2.227852972e-11	1	1	0
5.923	1789302241.455	09/13/2026_20:24:01.455	1	2	4.671984061e-05	6.569757183e-09	2.228868132e-11	1	1	0
6.003	1789302241.535	09/13/2026_20:24:01.535	1	2	4.677007018e-05	6.598047442e-09	2.229542419e-11	1	1	0
6.082	1789302241.614	09/13/2026_20:24:01.614	1	2	4.68497492e-05	6.591980295e-09	2.218574283e-11	1	1	0
6.162	1789302241.694	09/13/2026_20:24:01.694	1	2	4.68943399e-05	6.616842629e-09	2.226292241e-11	1	1	0
6.242	1789302241.774	09/13/2026_20:24:01.774	1	2	4.694980453e-05	6.56964394e-09	2.239928382e-11	1	1	0
6.322	1789302241.854	09/13/2026_20:24:01.854	1	2	4.701389116e-05	6.598209978e-09	2.222446012e-11	1	1	0
6.402	1789302241.934	09/13/2026_20:24:01.934	1	2	4.704891398e-05	6.632660643e-09	2.225609801e-11	1	1	0
6.481	1789302242.013	09/13/2026_20:24:02.013	1	2	4.705863466e-05	6.590917589e-09	2.237777151e-11	1	1	0
6.561	1789302242.093	09/13/2026_20:24:02.093	1	2	4.708368579e-05	6.591645008e-09	2.235827495e-11	1	1	0
6.641	1789302242.173	09/13/2026_20:24:02.173	1	2	4.708875713e-05	6.568987576e-09	2.225083659e-11	1	1	0
6.721	1789302242.253	09/13/2026_20:24:02.253	1	2	4.711301881e-05	6.622465687e-09	2.224404515e-11	1	1	0
6.801	1789302242.333	09/13/2026_20:24:02.333	1	2	4.712017108e-05	6.608025682e-09	2.234553168e-11	1	1	0
6.88	1789302242.412	09/13/2026_20:24:02.412	1	2	4.712958253e-05	6.575217704e-09	2.232549562e-11	1	1	0
6.96	1789302242.492	09/13/2026_20:24:02.492	1	2	4.704405364e-05	6.600376246e-09	2.226011736e-11	1	1	0
7.04	1789302242.572	09/13/2026_20:24:02.572	1	2	4.701479702e-05	6.59335786e-09	2.230306391e-11	1	1	0
7.12	1789302242.652	09/13/2026_20:24:02.652	1	2	4.693423762e-05	6.583756207e-09	2.226418529e-11	1	1	0
7.2	1789302242.732	09/13/2026_20:24:02.732	1	2	4.686238753e-05	6.583496415e-09	2.224025304e-11	1	1	0
7.279	1789302242.811	09/13/2026_20:24:02.811	1	2	4.682059443e-05	6.623557702e-09	2.219779568e-11	1	1	0
7.359	1789302242.891	09/13/2026_20:24:02.891	1	2	4.679903941e-05	6.56445831e-09	2.224097989e-11	1	1	0
7.439	1789302242.971	09/13/2026_20:24:02.971	1	2	4.677852849e-05	6.560348265e-09	2.210662382e-11	1	1	0
7.519	1789302243.051	09/13/2026_20:24:03.051	1	2	4.677460311e-05	6.578244616e-09	2.208684277e-11	1	1	0
7.599	1789302243.131	09/13/2026_20:24:03.131	1	2	4.675220407e-05	6.58746746e-09	2.217816035e-11	1	1	0
7.678	1789302243.210	09/13/2026_20:24:03.210	1	2	4.671805436e-05	6.576677869e-09	2.223484764e-11	1	1	0
7.758	1789302243.290	09/13/2026_20:24:03.290	1	2	4.67135178e-05	6.584260248e-09	2.215386208e-11	1	1	0
7.838	1789302243.370	09/13/2026_20:24:03.370	1	2	4.674508091e-05	6.616360348e-09	2.218558844e-11	1	1	0
7.918	1789302243.450	09/13/2026_20:24:03.450	1	2	4.681643259e-05	6.560809673e-09	2.227193256e-11	1	1	0
7.998	1789302243.530	09/13/2026_20:24:03.530	1	2	4.688735862e-05	6.55044019e-09	2.227444271e-11	1	1	0
8.077	1789302243.609	09/13/2026_20:24:03.609	1	2	4.698349949e-05	6.595494817e-09	2.217743524e-11	1	1	0
8.157	1789302243.689	09/13/2026_20:24:03.689	1	2	4.704069215e-05	6.633531058e-09	2.223447815e-11	1	1	0
8.237	1789302243.769	09/13/2026_20:24:03.769	1	2	4.709232235e-05	6.577487888e-09	2.218984545e-11	1	1	0
8.317	1789302243.849	09/13/2026_20:24:03.849	1	2	4.714123133e-05	6.591964308e-09	2.227082234e-11	1	1	0
8.397	1789302243.929	09/13/2026_20:24:03.929	1	2	4.715617979e-05	6.611585501e-09	2.220545275e-11	1	1	0
8.476	1789302244.008	09/13/2026_20:24:04.008	1	2	4.716952753e-05	6.569067512e-09	2.225334847e-11	1	1	0
8.556	1789302244.088	09/13/2026_20:24:04.088	1	2	4.718569471e-05	6.55822685e-09	2.219184905e-11	1	1	0
8.636	1789302244.168	09/13/2026_20:24:04.168	1	2	4.719246135e-05	6.598893432e-09	2.218896421e-11	1	1	0
8.716	1789302244.248	09/13/2026_20:24:04.248	1	2	4.720850848e-05	6.597071334e-09	2.221015732e-11	1	1	0
8.796	1789302244.328	09/13/2026_20:24:04.328	1	2	4.721418009e-05	6.565293642e-09	2.226593042e-11	1	1	0
8.875	1789302244.407	09/13/2026_20:24:04.407	1	2	4.72080792e-05	6.608881442e-09	2.207107413e-11	1	1	0
8.955	1789302244.487	09/13/2026_20:24:04.487	1	2	4.719085337e-05	6.59576127e-09	2.202610316e-11	1	1	0
9.035	1789302244.567	09/13/2026_20:24:04.567	1	2	4.712886584e-05	6.577294265e-09	2.205599592e-11	1	1	0
9.115	1789302244.647	09/13/2026_20:24:04.647	1	2	4.70927589e-05	6.563840582e-09	2.211318108e-11	1	1	0
9.195	1789302244.727	09/13/2026_20:24:04.727	1	2	4.708625056e-05	6.584405465e-09	2.205513203e-11	1	1	0
9.274	1789302244.806	09/13/2026_20:24:04.806	1	2	4.697304394e-05	6.595455737e-09	2.208819759e-11	1	1	0
9.354	1789302244.886	09/13/2026_20:24:04.886	1	2	4.68910257e-05	6.577235645e-09	2.223642104e-11	1	1	0
9.434	1789302244.966	09/13/2026_20:24:04.966	1	2	4.683230873e-05	6.55287602e-09	2.219033464e-11	1	1	0
9.514	1789302245.046	09/13/2026_20:24:05.046	1	2	4.680964776e-05	6.613174008e-09	2.215578415e-11	1	1	0
9.594	1789302245.126	09/13/2026_20:24:05.126	1	2	4.677298057e-05	6.576526435e-09	2.206778683e-11	1	1	0
9.673	1789302245.205	09/13/2026_20:24:05.205	1	2	4.67210557e-05	6.562080213e-09	2.214921302e-11	1	1	0
9.753	1789302245.285	09/13/2026_20:24:05.285	1	2	4.672354407e-05	6.567757893e-09	2.195950019e-11	1	1	0
9.833	1789302245.365	09/13/2026_20:24:05.365	1	2	4.67659338e-05	6.616860837e-09	2.196697858e-11	1	1	0
9.913	1789302245.445	09/13/2026_20:24:05.445	1	2	4.683720181e-05	6.59307009e-09	2.19662448e-11	1	1	0
9.993	1789302245.525	09/13/2026_20:24:05.525	1	2	4.693163646e-05	6.595973101e-09	2.19902152e-11	1	1	0
10.072	1789302245.604	09/13/2026_20:24:05.604	1	2	4.703833474e-05	6.588502632e-09	2.183771913e-11	1	1	0
10.152	1789302245.684	09/13/2026_20:24:05.684	1	2	4.708250344e-05	6.588259716e-09	2.192822313e-11	1	1	0
10.232	1789302245.764	09/13/2026_20:24:05.764	1	2	4.714994793e-05	6.577677958e-09	2.203105059e-11	1	1	0
10.312	1789302245.844	09/13/2026_20:24:05.844	1	2	4.720079596e-05	6.591102331e-09	2.203464841e-11	1	1	0
10.392	1789302245.924	09/13/2026_20:24:05.924	1	2	4.722872472e-05	6.606006853e-09	2.203333523e-11	1	1	0
10.471	1789302246.003	09/13/2026_20:24:06.003	1	2	4.724286191e-05	6.578670941e-09	2.212242715e-11	1	1	0
10.551	1789302246.083	09/13/2026_20:24:06.083	1	2	4.726602128e-05	6.605395786e-09	2.211380905e-11	1	1	0
10.631	1789302246.163	09/13/2026_20:24:06.163	1	2	4.726590123e-05	6.637915995e-09	2.205562816e-11	1	1	0
10.711	1789302246.243	09/13/2026_20:24:06.243	1	2	4.727331179e-05	6.604079061e-09	2.210436521e-11	1	1	0
10.791	1789302246.323	09/13/2026_20:24:06.323	1	2	4.726687621e-05	6.551058362e-09	2.215662549e-11	1	1	0
10.87	1789302246.402	09/13/2026_20:24:06.402	1	2	4.726777479e-05	6.582281387e-09	2.204039729e-11	1	1	0
10.95	1789302246.482	09/13/2026_20:24:06.482	1	2	4.728015483e-05	6.626172055e-09	2.191320909e-11	1	1	0
11.03	1789302246.562	09/13/2026_20:24:06.562	1	2	4.726908082e-05	6.57837651e-09	2.20163679e-11	1	1	0
11.11	1789302246.642	09/13/2026_20:24:06.642	1	2	4.728024214e-05	6.553760201e-09	2.195706984e-11	1	1	0
11.19	1789302246.722	09/13/2026_20:24:06.722	1	2	4.727600754e-05	6.601677427e-09	2.192137964e-11	1	1	0
11.269	1789302246.801	09/13/2026_20:24:06.801	1	2	4.726657426e-05	6.599485847e-09	2.184625744e-11	1	1	0
11.349	1789302246.881	09/13/2026_20:24:06.881	1	2	4.724766768e-05	6.569878863e-09	2.198533196e-11	1	1	0
11.429	1789302246.961	09/13/2026_20:24:06.961	1	2	4.724472456e-05	6.550174625e-09	2.188157988e-11	1	1	0
11.509	1789302247.041	09/13/2026_20:24:07.041	1	2	4.708557753e-05	6.590724411e-09	2.18592297e-11	1	1	0
11.589	1789302247.121	09/13/2026_20:24:07.121	1	2	4.69740371e-05	6.593338764e-09	2.186671677e-11	1	1	0
11.668	1789302247.200	09/13/2026_20:24:07.200	1	2	4.691667345e-05	6.599766955e-09	2.187499314e-11	1	1	0
11.748	1789302247.280	09/13/2026_20:24:07.280	1	2	4.687303226e-05	6.594797153e-09	2.19235758e-11	1	1	0
11.828	1789302247.360	09/13/2026_20:24:07.360	1	2	4.693218943e-05	6.62339783e-09	2.182358808e-11	1	1	0
11.908	1789302247.440	09/13/2026_20:24:07.440	1	2	4.69667757e-05	6.58122179e-09	2.192951723e-11	1	1	0
11.988	1789302247.520	09/13/2026_20:24:07.520	1	2	4.703924787e-05	6.568809496e-09	2.184960025e-11	1	1	0
12.067	1789302247.599	09/13/2026_20:24:07.599	1	2	4.706391701e-05	6.589463641e-09	2.185436727e-11	1	1	0
12.147	1789302247.679	09/13/2026_20:24:07.679	1	2	4.69942388e-05	6.60860433e-09	2.190202186e-11	1	1	0
12.227	1789302247.759	09/13/2026_20:24:07.759	1	2	4.694572999e-05	6.571041489e-09	2.192861344e-11	1	1	0
12.307	1789302247.839	09/13/2026_20:24:07.839	1	2	4.694415838e-05	6.608196212e-09	2.182212917e-11	1	1	0
12.387	1789302247.919	09/13/2026_20:24:07.919	1	2	4.69147235e-05	6.564173205e-09	2.186272864e-11	1	1	0
12.466	1789302247.998	09/13/2026_20:24:07.998	1	2	4.683931911e-05	6.576049927e-09	2.18757807e-11	1	1	0
12.546	1789302248.078	09/13/2026_20:24:08.078	1	2	4.681879e-05	6.583511958e-09	2.189877793e-11	1	1	0
12.626	1789302248.158	09/13/2026_20:24:08.158	1	2	4.697739132e-05	6.568764199e-09	2.182814519e-11	1	1	0
12.706	1789302248.238	09/13/2026_20:24:08.238	1	2	4.70991472e-05	6.636622363e-09	2.177273466e-11	1	1	0
12.786	1789302248.318	09/13/2026_20:24:08.318	1	2	4.718057971e-05	6.574651934e-09	2.19666299e-11	1	1	0
12.865	1789302248.397	09/13/2026_20:24:08.397	1	2	4.725305189e-05	6.604234493e-09	2.180328487e-11	1	1	0
12.945	1789302248.477	09/13/2026_20:24:08.477	1	2	4.729323337e-05	6.603036784e-09	2.183803832e-11	1	1	0
13.025	1789302248.557	09/13/2026_20:24:08.557	1	2	4.732062735e-05	6.602781433e-09	2.197895685e-11	1	1	0
13.105	1789302248.637	09/13/2026_20:24:08.637	1	2	4.735600305e-05	6.601931002e-09	2.20240319e-11	1	1	0
13.185	1789302248.717	09/13/2026_20:24:08.717	1	2	4.738511416e-05	6.624856663e-09	2.196897525e-11	1	1	0
13.264	1789302248.796	09/13/2026_20:24:08.796	1	2	4.738829375e-05	6.598832591e-09	2.194512454e-11	1	1	0
13.344	1789302248.876	09/13/2026_20:24:08.876	1	2	4.740645454e-05	6.605075598e-09	2.19370442e-11	1	1	0
13.424	1789302248.956	09/13/2026_20:24:08.956	1	2	4.739448923e-05	6.56846133e-09	2.185212081e-11	1	1	0
13.504	1789302249.036	09/13/2026_20:24:09.036	1	2	4.741764133e-05	6.604016445e-09	2.182685803e-11	1	1	0
13.584	1789302249.116	09/13/2026_20:24:09.116	1	2	4.724235623e-05	6.590709312e-09	2.192928998e-11	1	1	0
13.663	1789302249.195	09/13/2026_20:24:09.195	1	2	4.713952512e-05	6.585610279e-09	2.192396265e-11	1	1	0
13.743	1789302249.275	09/13/2026_20:24:09.275	1	2	4.718727359e-05	6.625937132e-09	2.172982454e-11	1	1	0
13.823	1789302249.355	09/13/2026_20:24:09.355	1	2	4.714461465e-05	6.584263801e-09	2.180892793e-11	1	1	0
13.903	1789302249.435	09/13/2026_20:24:09.435	1	2	4.708011329e-05	6.573685152e-09	2.182326368e-11	1	1	0
13.983	1789302249.515	09/13/2026_20:24:09.515	1	2	4.698921111e-05	6.599373492e-09	2.172952443e-11	1	1	0
14.062	1789302249.594	09/13/2026_20:24:09.594	1	2	4.690035348e-05	6.626024618e-09	2.167806386e-11	1	1	0
14.142	1789302249.674	09/13/2026_20:24:09.674	1	2	4.68323924e-05	6.626743598e-09	2.177785383e-11	1	1	0
14.222	1789302249.754	09/13/2026_20:24:09.754	1	2	4.699619603e-05	6.569366828e-09	2.185862602e-11	1	1	0
14.302	1789302249.834	09/13/2026_20:24:09.834	1	2	4.710878784e-05	6.612621117e-09	2.181373138e-11	1	1	0
14.382	1789302249.914	09/13/2026_20:24:09.914	1	2	4.719595745e-05	6.605731073e-09	2.173478411e-11	1	1	0
14.461	1789302249.993	09/13/2026_20:24:09.993	1	2	4.725600229e-05	6.603392944e-09	2.186965019e-11	1	1	0
14.541	1789302250.073	09/13/2026_20:24:10.073	1	2	4.731773515e-05	6.550013421e-09	2.172878891e-11	1	1	0
14.621	1789302250.153	09/13/2026_20:24:10.153	1	2	4.734682079e-05	6.5846395e-09	2.168309456e-11	1	1	0
14.701	1789302250.233	09/13/2026_20:24:10.233	1	2	4.736069241e-05	6.618759318e-09	2.175643866e-11	1	1	0
14.781	1789302250.313	09/13/2026_20:24:10.313	1	2	4.738740245e-05	6.586655221e-09	2.164514401e-11	1	1	0
14.86	1789302250.392	09/13/2026_20:24:10.392	1	2	4.741393423e-05	6.534601749e-09	2.160465383e-11	1	1	0
14.94	1789302250.472	09/13/2026_20:24:10.472	1	2	4.742665624e-05	6.619589321e-09	2.150409538e-11	1	1	0
15.02	1789302250.552	09/13/2026_20:24:10.552	1	2	4.74245935e-05	6.614439219e-09	2.163010916e-11	1	1	0
15.1	1789302250.632	09/13/2026_20:24:10.632	1	2	4.744391845e-05	6.569709665e-09	2.155558197e-11	1	1	0
15.18	1789302250.712	09/13/2026_20:24:10.712	1	2	4.745207843e-05	6.59165833e-09	2.15407657e-11	1	1	0
15.259	1789302250.791	09/13/2026_20:24:10.791	1	2	4.744504258e-05	6.610242576e-09	2.165293292e-11	1	1	0
15.339	1789302250.871	09/13/2026_20:24:10.871	1	2	4.738440111e-05	6.573324995e-09	2.167747752e-11	1	1	0
15.419	1789302250.951	09/13/2026_20:24:10.951	1	2	4.735487892e-05	6.585773704e-09	2.162651308e-11	1	1	0
15.499	1789302251.031	09/13/2026_20:24:11.031	1	2	4.721569348e-05	6.583576351e-09	2.163922513e-11	1	1	0
15.579	1789302251.111	09/13/2026_20:24:11.111	1	2	4.711814108e-05	6.584309542e-09	2.165779361e-11	1	1	0
15.658	1789302251.190	09/13/2026_20:24:11.190	1	2	4.70586856e-05	6.552034915e-09	2.165177586e-11	1	1	0
15.738	1789302251.270	09/13/2026_20:24:11.270	1	2	4.701129001e-05	6.577131728e-09	2.159723962e-11	1	1	0
15.818	1789302251.350	09/13/2026_20:24:11.350	1	2	4.70753439e-05	6.551975407e-09	2.160919707e-11	1	1	0
15.898	1789302251.430	09/13/2026_20:24:11.430	1	2	4.714362876e-05	6.531931884e-09	2.168977324e-11	1	1	0
15.978	1789302251.510	09/13/2026_20:24:11.510	1	2	4.722204176e-05	6.615304748e-09	2.163804379e-11	1	1	0
16.057	1789302251.589	09/13/2026_20:24:11.589	1	2	4.72536085e-05	6.616461157e-09	2.153104604e-11	1	1	0
16.137	1789302251.669	09/13/2026_20:24:11.669	1	2	4.721109508e-05	6.600768376e-09	2.162130371e-11	1	1	0
16.217	1789302251.749	09/13/2026_20:24:11.749	1	2	4.71779058e-05	6.570557876e-09	2.161003321e-11	1	1	0
16.297	1789302251.829	09/13/2026_20:24:11.829	1	2	4.712404188e-05	6.576781342e-09	2.145336166e-11	1	1	0
16.377	1789302251.909	09/13/2026_20:24:11.909	1	2	4.707909102e-05	6.612413728e-09	2.141559846e-11	1	1	0
16.456	1789302251.988	09/13/2026_20:24:11.988	1	2	4.709125642e-05	6.555018306e-09	2.158686771e-11	1	1	0
16.536	1789302252.068	09/13/2026_20:24:12.068	1	2	4.703110244e-05	6.563888988e-09	2.146630096e-11	1	1	0
16.616	1789302252.148	09/13/2026_20:24:12.148	1	2	4.712163354e-05	6.615937576e-09	2.145985126e-11	1	1	0
16.696	1789302252.228	09/13/2026_20:24:12.228	1	2	4.71715357e-05	6.586008627e-09	2.16072351e-11	1	1	0
16.776	1789302252.308	09/13/2026_20:24:12.308	1	2	4.725712279e-05	6.578399603e-09	2.1596629e-11	1	1	0
16.855	1789302252.387	09/13/2026_20:24:12.387	1	2	4.732611706e-05	6.603997793e-09	2.153778718e-11	1	1	0
16.935	1789302252.467	09/13/2026_20:24:12.467	1	2	4.737450945e-05	6.599469415e-09	2.154267389e-11	1	1	0
17.015	1789302252.547	09/13/2026_20:24:12.547	1	2	4.740716395e-05	6.564741639e-09	2.161637189e-11	1	1	0
17.095	1789302252.627	09/13/2026_20:24:12.627	1	2	4.744188118e-05	6.593211754e-09	2.159764902e-11	1	1	0
17.175	1789302252.707	09/13/2026_20:24:12.707	1	2	4.744845501e-05	6.595899826e-09	2.14683965e-11	1	1	0
17.254	1789302252.786	09/13/2026_20:24:12.786	1	2	4.744510079e-05	6.594084834e-09	2.150950425e-11	1	1	0
17.334	1789302252.866	09/13/2026_20:24:12.866	1	2	4.744781108e-05	6.522586471e-09	2.159697247e-11	1	1	0
17.414	1789302252.946	09/13/2026_20:24:12.946	1	2	4.746731793e-05	6.571786226e-09	2.147692614e-11	1	1	0
